fletta,mark
aðal,no
aðaleigandi,no
aðall,no
aðalsfólk,no
aðalsmaður,no
aðbúð,no
aðbúnaður,no
aðdáandi,no
aðdáun,no
aðdragandi,no
aðdragandi,lo
aðdróttun,no
aðdrættir,no
aðfarir,no
aðferð,no
aðferðafræði,no
aðfinning,no
aðfinnslur,no
aðfinnslusamur,lo
aðflutningar,no
aðfluttir,lo
aðfluttur,lo
aðframkominn,lo
aðframkominn af þreytu,lo
aðföng,no
aðgangsharður,lo
aðgangur,no
aðgát,no
aðgengi,no
aðgengilegur,lo
aðgerð,no
aðgerðaáætlun,no
aðgerðalaus,lo
aðgerðaleysi,no
aðgerðarlaus,lo
aðgerðarleysi,no
aðgjörð,no
aðgreining,no
aðgæsla,no
aðgæsluleysi,no
aðgætinn,lo
aðgætni,no
aðhald,no
aðhaldsleysi,no
aðhaldssemi,no
aðhjúkrun,no
aðhlátur,no
aðhlynning,no
aðilar vinnumarkaðarins,fn-n lo-n
aðild,no
aðili,no
aðkallandi,lo
aðkast,no
aðkoma,no
aðkomandi,lo
aðkominn,lo
aðkomufólk,no
aðkomugestur,no
aðkomumaður,no
aðlaðandi,lo
aðlögun,no
aðlögunarhæfni,no
aðmíráll,no
aðsetur,no
aðsjáll,lo
aðskilnaðarsinni,no
aðskilnaðarstefna,no
aðskilnaður,no
aðskotadýr,no
aðsókn,no
aðsópsmikill,lo-n fs
aðstaða,no
aðstandandi,no
aðstoð,no
aðstoðarlæknir,no
aðstoðarmaður,no
aðstæður,no
aðstöðumunur,no
aðsúgsmikill,lo-n fs no-a st so
aðvörun,no
aðþrengdur,lo
af sér genginn,lo
afabarn,no
afarmenni,no
afborgun,no
afbragðsmaður,no
afbrigði,no
afbrigðilegt kynlíf,no
afbrigðilegur,lo
afbrot,no
afbrot gegn mannkyninu,no
afbrotalýður,no
afbrotamaður,no
afbrúðugur,lo
afbrýði,no
afbrýðisamur,lo
afbrýðisemi,no
afburðamaður,no
afbökun,no
afdalaháttur,no
afdalamennska,no
afdalur,no
afdankaður,lo
afdráttarlaus,lo
afdrep,no
afdrif,no
afdrifaríkur,lo
afferming,no
afflutningur,no
afgangur,no
afgerandi,lo
afglöp,no
afgreiðsla,no
afgreiðslufólk,no
afguðadýrkun,no
afhending,no
afheyris,fs no-a
afhjúpun,no
afhrak,no
afi,no
afkastageta,no
afkastaleysi,no
afkastamikill,lo
afkáralegur,lo
afkimi,no
afkoma,no
afkomendur,no
afkomumöguleikar,no
afkomuskilyrði,no
afkomuöryggi,no
afkvæmi,no
afkynjun,no
afköst,no
afl,no
aflabrestur,no
aflabrögð,no
aflaföng,no
aflakló,no
aflaleysi,no
aflamaður,no
aflasæld,no
aflatregða,no
aflausn,no
aflát,no
afleiðing,no
afleysing,no
afleysingar,no
afli,no
aflimaður,lo
aflimun,no
aflífun,no
aflraunir,no
aflsmunur,no
aflvaki,no
aflvana,lo
afmarkaður,lo
afmyndaður,lo
afmæli,no
afmælisveisla,no
afmörkun,no
afnám,no
afneitun,no
afnot,no
afrakstur,no
afrek,no
afreksfólk,no
afreksmaður,no-ng no-n
afreksverk,no
afrétt,no
afréttarland,no
afréttur,no
afrifa,no
afsiðun,no
afskekktur,lo
afskiptalaus,lo
afskiptaleysi,no
afskiptasamur,lo
afskiptasemi,no
afskipti,no
afskiptur,lo
afskriftir,no
afskræmdur,lo
afskræming,no
afskræming staðreynda,no
afslappaður,lo
afsláttur,no
afslöppun,no
afspyrnurok,no
afstaða,no
afstöðuleysi,no
afsögn,no
afsökun,no
aftaka,no
aftaka án dóms og laga,no
afturelding,no
afturför,no
afturganga,no
afturhald,no
afturhaldssamur,lo
afturhaldsseggur,no
afturhaldssemi,no
afturhvarf,no
afturkippur,no
afundinn,lo
afurðatap,no
afurðir,no
afvikinn,lo
afvopnun,no
afþreying,no
afæta,no
agaður,lo
agalaus,lo
agaleysi,no
agasamur,lo-n fs no-a st so
agg,no
agi,no
agndofa,lo
akbraut,no
akstur,no
akstursleið,no
aktygi,no
akur,no
akurland,no
akurlendi,no
akurstæði,no
akuryrkja,no
akvegur,no
alblóðugur,lo
aldagamall,lo
aldarandi,no
aldarfar,no
aldingarður,no
aldinn,lo
aldrað fólk,no
aldraðir,no
aldraður,lo-n fs no-d
aldur,no
aldurhniginn,lo
aldursskipting,no
aleinn,lo
algengur,lo
algjör,lo
algleymi,no
alheimsfrægð,no
